fromUrl,toUrl,relationship,status
"/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","/en-za/industries/coal-handling-and-washing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","/en-za/solutions/crusher-protection/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","/en-za/solutions/conveyor-protection/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","/en-za/industries/coal-handling-and-washing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","/en-za/industries/aggregates-quarries-and-cement/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","/en-za/solutions/tramp-iron-removal/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","/en-za/solutions/conveyor-protection/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","/en-za/industries/coal-handling-and-washing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","/en-za/solutions/ferrous-metal-recovery/","product-to-solution","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","/en-za/industries/recycling-and-material-recovery/","product-to-industry","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","/en-za/solutions/non-ferrous-metal-recovery/","product-to-solution","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","/en-za/industries/recycling-and-material-recovery/","product-to-industry","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","/en-za/solutions/non-ferrous-metal-recovery/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/industries/mining-and-mineral-processing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/industries/coal-handling-and-washing/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/industries/aggregates-quarries-and-cement/","product-to-industry","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/solutions/tramp-iron-removal/","product-to-solution","generated from product truth card"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/solutions/conveyor-protection/","product-to-solution","generated from product truth card"
