"url","slug","publicPageFound","pageLeakHits","productDataLeakHits","status"
"/en-za/products/magnetic-components-and-filters/magnetic-trap/","magnetic-trap","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/rotary-pipe-magnet/","rotary-pipe-magnet","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/permanent-filter-bar-magnetic-neodymium-rod/","permanent-filter-bar-magnetic-neodymium-rod","yes","none","none","pass"
"/en-za/products/industry-application-equipment/high-frequency-screen/","high-frequency-screen","yes","none","none","pass"
"/en-za/products/industry-application-equipment/kgla-series-rectifier-control-box/","kgla-series-rectifier-control-box","yes","none","none","pass"
"/en-za/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","yes","none","none","pass"
"/en-za/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","yes","none","none","pass"
"/en-za/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","yes","none","none","pass"
"/en-za/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","yes","none","none","pass"
"/en-za/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","yes","none","none","pass"
